ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 20, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 2, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0,  Brake: 25, Actual Velocity: 0,  Brake: 25, Actual Velocity: 0,  Brake: 25, Actual Velocity: 0, 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
ESP: Desired Velocity: 0, Desired Brake: 25, Actual Velocity: 0, u: 0.00
